#,Summary,Status,Assignee,Pri,Notes
Tech Debt Slowing Down H1 work,,,,,
1532805,Move UserAutoCompleteResult to its own file and rename to LoginAutoCompleteResult,RESOLVED,MattN,P3,
1533167,Move LoginFormFactory to its own file,RESOLVED,MattN,P3,
1533176,Have FormLikeFactory (and LoginFormFactory return class instances),NEW,,P3,Helps with updates / making .elements/.action live
,Use LoginTestUtils more,,,,
,Make/share better test helpers,,,,
1533166,Move getSubmitMessage function into pwmgr_common.js to avoid duplication,NEW,,P3,
,Make default `scheme = https` for mochitest.ini and convert some tests to https,,,,
1527828,Move insecure password field detection for the address bar indicator to C++ and fix it for Fission,NEW,,P2,
,Fix logging stacks (revert a change),,,,
1334012,nsLoginManager runs in both parent and child processes (remove autoCompleteSearchAsync from nsILoginManager),NEW,,P3,
1533557,Use LoginHelper.jsm's cached preference values in LoginManager.jsm,NEW,,P3,
1533558,Delete dead _formFillService code in LoginManager.jsm,RESOLVED,Nidhi Kumari,P3,
,Context Menu,,,,
,Unhide toggle,,,,
1513003,PasswordManager:findLogins MessageManager Topic allows querying for any origin's login,NEW,,P2,
,Same as above but to autocomplete,,,,
1166113,Use data from autoCompleteSearchAsync to fill username and password,NEW,,P2,
,Add in-tree code documentation,,,,
,Use hasBeenTypePasword,,,,